Run finished at Tue Aug  4 17:45:50 2020
Global runtime       = 4723ms / 4.723s
Number of processors = 1
# Rank: 0

                                                                                 Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                               _GLOBAL |          1 |       4723 |       4723 |       4723 |       4723 |          1 |
                                                                               advance |        115 |       2968 |         79 |         21 |         25 |      0.628 |
                                                               advance/m2n.receiveData |        115 |          9 |          0 |          0 |          0 |    0.00191 |
                                                                  advance/m2n.sendData |        115 |         17 |          0 |          0 |          0 |     0.0036 |
                        advance/map.np.computeMapping.FromNeumannNodesToDirichletNodes |          1 |          2 |          2 |          2 |          2 |   0.000423 |
        advance/map.np.computeMapping.FromNeumannNodesToDirichletNodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromDirichletNodesToNeumannNodes |        115 |          5 |          0 |          0 |          0 |    0.00106 |
                               advance/map.np.mapData.FromNeumannNodesToDirichletNodes |        115 |          3 |          0 |          0 |          0 |   0.000635 |
                                                                             configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                              finalize |          1 |         44 |         44 |         44 |         44 |    0.00932 |
                                                                            initialize |          1 |        102 |        102 |        102 |        102 |     0.0216 |
                                           initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
                                                   initialize/m2n.createCommunications |          1 |          5 |          5 |          5 |          5 |    0.00106 |
                                             initialize/m2n.exchangeVertexDistribution |          1 |         45 |         45 |         45 |         45 |    0.00953 |
                                                initialize/m2n.requestMasterConnection |          1 |          1 |          1 |          1 |          1 |   0.000212 |
                                                initialize/m2n.requestSlavesConnection |          1 |         51 |         51 |         51 |         51 |     0.0108 |
                                       initialize/partition.prepareMesh.DirichletNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.NeumannNodes |          1 |         44 |         44 |         44 |         44 |    0.00932 |
                                                                        initializeData |          1 |         14 |         14 |         14 |         14 |    0.00296 |
                 initializeData/map.np.computeMapping.FromDirichletNodesToNeumannNodes |          1 |         11 |         11 |         11 |         11 |    0.00233 |
 initializeData/map.np.computeMapping.FromDirichletNodesToNeumannNodes.getIndexOnEdges |          1 |          0 |          0 |          0 |          0 |          0 |
                        initializeData/map.np.mapData.FromDirichletNodesToNeumannNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                        solver.advance |        115 |       1499 |         22 |          8 |         13 |      0.317 |
                                                                     solver.initialize |          1 |         88 |         88 |         88 |         88 |     0.0186 |


                                                                                  Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
---------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                               _GLOBAL |       4723 |          0 |       4723 |          0 |          1 |
                                                                               advance |         79 |          0 |         21 |          0 |   0.265823 |
                                                               advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                  advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                        advance/map.np.computeMapping.FromNeumannNodesToDirichletNodes |          2 |          0 |          2 |          0 |          1 |
        advance/map.np.computeMapping.FromNeumannNodesToDirichletNodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromDirichletNodesToNeumannNodes |          0 |          0 |          0 |          0 |          0 |
                               advance/map.np.mapData.FromNeumannNodesToDirichletNodes |          0 |          0 |          0 |          0 |          0 |
                                                                             configure |          0 |          0 |          0 |          0 |          0 |
                                                                              finalize |         44 |          0 |         44 |          0 |          1 |
                                                                            initialize |        102 |          0 |        102 |          0 |          1 |
                                           initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                   initialize/m2n.createCommunications |          5 |          0 |          5 |          0 |          1 |
                                             initialize/m2n.exchangeVertexDistribution |         45 |          0 |         45 |          0 |          1 |
                                                initialize/m2n.requestMasterConnection |          1 |          0 |          1 |          0 |          1 |
                                                initialize/m2n.requestSlavesConnection |         51 |          0 |         51 |          0 |          1 |
                                       initialize/partition.prepareMesh.DirichletNodes |          0 |          0 |          0 |          0 |          0 |
                                   initialize/partition.receiveGlobalMesh.NeumannNodes |         44 |          0 |         44 |          0 |          1 |
                                                                        initializeData |         14 |          0 |         14 |          0 |          1 |
                 initializeData/map.np.computeMapping.FromDirichletNodesToNeumannNodes |         11 |          0 |         11 |          0 |          1 |
 initializeData/map.np.computeMapping.FromDirichletNodesToNeumannNodes.getIndexOnEdges |          0 |          0 |          0 |          0 |          0 |
                        initializeData/map.np.mapData.FromDirichletNodesToNeumannNodes |          0 |          0 |          0 |          0 |          0 |
                                                                        solver.advance |         22 |          0 |          8 |          0 |   0.363636 |
                                                                     solver.initialize |         88 |          0 |         88 |          0 |          1 |
