TimeWindow  Iteration  ResRel(Flux)  ResRel(Temperature)  
1  1  1.0000000000000000  0.0540307098735447  
1  2  0.0049500440057879  0.0530086177001827  
1  3  0.2834662615032725  0.0019539378062266  
1  4  0.0175447104109975  0.0004826997386446  
1  5  0.0078558869103975  0.0002909066696494  
1  6  0.0030980621028742  0.0000461446177316  
1  7  0.0007921612983189  0.0000294054528192  
1  8  0.0002887809765733  0.0000073437586277  
1  9  0.0000444534392870  0.0000005654374758  
1  10  0.0000068619830040  0.0000001524493074  
2  1  0.3065740075907378  0.0525794704092986  
2  2  0.3255674041607857  0.0153288393935780  
2  3  0.1696886779230287  0.0029244535086341  
2  4  0.0421668026195298  0.0011322431167148  
2  5  0.0167835118471290  0.0002474896097522  
2  6  0.0028581560233157  0.0001418694278483  
2  7  0.0009206465020265  0.0000172451030892  
2  8  0.0002066770721792  0.0000039262806446  
2  9  0.0000508908619696  0.0000016424828309  
2  10  0.0000165842578176  0.0000001679732586  
2  11  0.0000034575239666  0.0000000795454346  
3  1  0.3065747676623771  0.0512026695507092  
3  2  0.3473018207509722  0.0277727345628623  
3  3  0.2656158854202202  0.0095191795251364  
3  4  0.1011215977181207  0.0026346627145511  
3  5  0.0249196586855552  0.0002786797179284  
3  6  0.0033730186469595  0.0001395123309996  
3  7  0.0017152285541736  0.0000586394761087  
3  8  0.0003768317027678  0.0000161092263212  
3  9  0.0001331770642344  0.0000030041413570  
3  10  0.0000270245408463  0.0000003186513589  
3  11  0.0000054788344670  0.0000002329659099  
4  1  0.3065749037730948  0.0498949866822623  
4  2  0.4082247437063393  0.0243519006807009  
4  3  0.3172367376942656  0.0091478148229390  
4  4  0.0913416401328124  0.0018312174462030  
4  5  0.0197436393868828  0.0005424588645425  
4  6  0.0060975508237511  0.0003330601779210  
4  7  0.0028156306622088  0.0000421009378680  
4  8  0.0003468161938990  0.0000196949982380  
4  9  0.0001044282872260  0.0000036611645872  
4  10  0.0000366825908237  0.0000014013957560  
4  11  0.0000168914168147  0.0000008061265358  
4  12  0.0000059003612143  0.0000002088326091  
5  1  0.3065748375261543  0.0486512243895784  
5  2  0.4252725580531733  0.0425369660125258  
5  3  0.2956166220713041  0.0076412410869183  
5  4  0.0777178596064743  0.0008364034926464  
5  5  0.0105745360024735  0.0003397741068756  
5  6  0.0035736399247157  0.0000937153216058  
5  7  0.0010572411082767  0.0000583588513550  
5  8  0.0005139584096240  0.0000119858512682  
5  9  0.0001105641479890  0.0000012558475189  
5  10  0.0000188701059081  0.0000003718384550  
5  11  0.0000043856904104  0.0000002464671679  
6  1  0.3065746167961686  0.0474669343032916  
6  2  0.4118758443175934  0.0368027673656381  
6  3  0.2770965251782466  0.0043919011273187  
6  4  0.0598125071744315  0.0024876588863895  
6  5  0.0287603445313322  0.0005604165140511  
6  6  0.0082603640512627  0.0003786253466853  
6  7  0.0026368251057321  0.0000366070772057  
6  8  0.0004209412270457  0.0000092727848167  
6  9  0.0001019434994159  0.0000039109548212  
6  10  0.0000447714227947  0.0000019518341150  
6  11  0.0000222113138709  0.0000001686039589  
6  12  0.0000020600098214  0.0000001344813086  
7  1  0.3065743978432645  0.0463382302026465  
7  2  0.3673514677972797  0.0300330526846716  
7  3  0.3223252013112223  0.0083784313011374  
7  4  0.0958706484384135  0.0011875407550419  
7  5  0.0169977356343685  0.0006211254699293  
7  6  0.0068296969587972  0.0002742787158726  
7  7  0.0022742842468012  0.0000373541230871  
7  8  0.0006604393331379  0.0000190961174052  
7  9  0.0001851644919383  0.0000008453377714  
7  10  0.0000142416335055  0.0000006610270873  
7  11  0.0000060314804146  0.0000000157302256  
8  1  0.3065744237325679  0.0452610570158164  
8  2  0.3652357795056483  0.0208259873754585  
8  3  0.2229148489768495  0.0038059974778592  
8  4  0.0695980656515270  0.0012525303647575  
8  5  0.0206266314607364  0.0005653154907254  
8  6  0.0057572661869541  0.0001948802422977  
8  7  0.0024322127297874  0.0000267256220684  
8  8  0.0003683388089234  0.0000094232974962  
8  9  0.0000875083107859  0.0000012631659962  
8  10  0.0000269129776102  0.0000006506191204  
8  11  0.0000090798716284  0.0000002060977735  
9  1  0.3065738344077059  0.0442321601123686  
9  2  0.4191594280452355  0.0436019993651179  
9  3  0.2076986721300502  0.0023715368237493  
9  4  0.0313617386124345  0.0006943062532130  
9  5  0.0125809981956948  0.0003168662610195  
9  6  0.0034944432098362  0.0000869854410408  
9  7  0.0014205638193729  0.0000503693232127  
9  8  0.0003615357197210  0.0000165174165906  
9  9  0.0001452468305793  0.0000026986525890  
9  10  0.0000236211914368  0.0000002644017794  
9  11  0.0000053821629976  0.0000002230236720  
10  1  0.3065739027833141  0.0432483962031703  
10  2  0.4340255314790312  0.0167925163157128  
10  3  0.3624938820069654  0.0067208321347789  
10  4  0.1080398364712988  0.0022125410530713  
10  5  0.0237199040096110  0.0002479454923493  
10  6  0.0033039039900501  0.0000910191867006  
10  7  0.0019071330709685  0.0000553237891262  
10  8  0.0006155781143919  0.0000170079621278  
10  9  0.0001365517096829  0.0000016423362890  
10  10  0.0000227874887406  0.0000005831379395  
10  11  0.0000140561326847  0.0000003406923919  
10  12  0.0000047842666657  0.0000000661826887  
