Run finished at Tue Aug  4 17:29:00 2020
Global runtime       = 6414ms / 6.414s
Number of processors = 1
# Rank: 0

                                            Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------
                                          _GLOBAL |          1 |       6414 |       6414 |       6414 |       6414 |          1 |
                                          advance |        112 |       1840 |         25 |          1 |         16 |      0.287 |
             advance/cpl.computeQuasiNewtonUpdate |        102 |        114 |          2 |          0 |          1 |     0.0178 |
                          advance/m2n.receiveData |        111 |       1578 |         23 |         11 |         14 |      0.246 |
                             advance/m2n.sendData |        112 |         15 |          0 |          0 |          0 |    0.00234 |
                                        configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                         finalize |          1 |         42 |         42 |         42 |         42 |    0.00655 |
                                       initialize |          1 |        108 |        108 |        108 |        108 |     0.0168 |
            initialize/m2n.acceptMasterConnection |          1 |          2 |          2 |          2 |          2 |   0.000312 |
            initialize/m2n.acceptSlavesConnection |          1 |        100 |        100 |        100 |        100 |     0.0156 |
      initialize/m2n.broadcastVertexDistributions |          1 |          0 |          0 |          0 |          0 |          0 |
             initialize/m2n.buildCommunicationMap |          1 |          0 |          0 |          0 |          0 |          0 |
              initialize/m2n.createCommunications |          1 |          5 |          5 |          5 |          5 |    0.00078 |
        initialize/m2n.exchangeVertexDistribution |          1 |         94 |         94 |         94 |         94 |     0.0147 |
     initialize/partition.gatherMesh.NeumannNodes |          1 |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.NeumannNodes |          1 |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.NeumannNodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                   initializeData |          1 |       1878 |       1878 |       1878 |       1878 |      0.293 |
                   initializeData/m2n.receiveData |          1 |       1877 |       1877 |       1877 |       1877 |      0.293 |
                      initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                                   solver.advance |        112 |       2435 |         29 |          9 |         21 |       0.38 |
                                solver.initialize |          1 |        101 |        101 |        101 |        101 |     0.0157 |


                                             Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------
                                          _GLOBAL |       6414 |          0 |       6414 |          0 |          1 |
                                          advance |         25 |          0 |          1 |          0 |       0.04 |
             advance/cpl.computeQuasiNewtonUpdate |          2 |          0 |          0 |          0 |          0 |
                          advance/m2n.receiveData |         23 |          0 |         11 |          0 |   0.478261 |
                             advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                        configure |          0 |          0 |          0 |          0 |          0 |
                                         finalize |         42 |          0 |         42 |          0 |          1 |
                                       initialize |        108 |          0 |        108 |          0 |          1 |
            initialize/m2n.acceptMasterConnection |          2 |          0 |          2 |          0 |          1 |
            initialize/m2n.acceptSlavesConnection |        100 |          0 |        100 |          0 |          1 |
      initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
             initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
              initialize/m2n.createCommunications |          5 |          0 |          5 |          0 |          1 |
        initialize/m2n.exchangeVertexDistribution |         94 |          0 |         94 |          0 |          1 |
     initialize/partition.gatherMesh.NeumannNodes |          0 |          0 |          0 |          0 |          0 |
    initialize/partition.prepareMesh.NeumannNodes |          0 |          0 |          0 |          0 |          0 |
 initialize/partition.sendGlobalMesh.NeumannNodes |          0 |          0 |          0 |          0 |          0 |
                                   initializeData |       1878 |          0 |       1878 |          0 |          1 |
                   initializeData/m2n.receiveData |       1877 |          0 |       1877 |          0 |          1 |
                      initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                   solver.advance |         29 |          0 |          9 |          0 |   0.310345 |
                                solver.initialize |        101 |          0 |        101 |          0 |          1 |
