TimeWindow  Iteration  ResNorm(Flux)  ResNorm(Temperature)  
1  1  inf  0.1298107758336013  
1  2  inf  0.1285126680752652  
1  3  inf  0.0000000000000000  
2  1  inf  0.0455832149452113  
2  2  inf  0.0000000000000000  
3  1  inf  0.0299905374343090  
3  2  inf  0.0000000000000000  
4  1  inf  0.0252959664624836  
4  2  inf  0.0000000000000000  
5  1  inf  0.0234969937497591  
5  2  inf  0.0000000000000000  
6  1  inf  0.0225851013534142  
6  2  inf  0.0000000000000000  
7  1  inf  0.0219694748075493  
7  2  inf  0.0000000000000000  
8  1  inf  0.0214632455862323  
8  2  inf  0.0000000000000000  
9  1  inf  0.0210051342849973  
9  2  inf  0.0000000000000000  
10  1  inf  0.0205743814607211  
10  2  inf  0.0000000000000000  
