TimeWindow  TotalIterations  Iterations  Convergence  AvgConvRate(Flux)  AvgConvRate(Temperature)  DeletedColumns  
1  3  3  1  -nan  0.0000000000000000  0  
2  5  2  1  -nan  0.0000000000000000  1  
3  7  2  1  -nan  0.0000000000000000  0  
4  9  2  1  -nan  0.0000000000000000  0  
5  11  2  1  -nan  0.0000000000000000  0  
6  13  2  1  -nan  0.0000000000000000  0  
7  15  2  1  -nan  0.0000000000000000  0  
8  17  2  1  -nan  0.0000000000000000  0  
9  19  2  1  -nan  0.0000000000000000  0  
10  21  2  1  -nan  0.0000000000000000  0  
